ZIPCODE,SVI_HC_Disability,SVI_HC_English,SVI_HH_SingleParent,SVI_SS_Poverty,SVI_SS_No_HS,SVI_HT_MultiUnit,SVI_HT_Crowding,SVI_HT_MobileHomes,SVI_SS_HousingBurden,SVI_HT_NoVehicle,SVI_SS_No_Health_Ins
63555,14.77,0,20.25,19.67,15.72,2.41,1.94,12.64,40.56,5.06,26.6
63556,7.9,6,18.58,26.89,16.41,0.44,3.8,14.57,31.6,3.56,10.29
63557,18.15,0,2.9,10.48,6.21,0,0,23.08,,2.91,7.66
63558,24.8,0,0.88,20.48,12.42,0.28,1.64,9.09,47.83,1.23,10.43
63559,15.62,0,14.84,27.93,9.83,0.38,0.99,17.99,52.94,3.8,9.8
63560,14.84,0,0,42.19,7.32,0,3.17,18.58,37.5,4.76,21.09
63561,19.65,0.43,0,23.81,10.27,1.67,1.18,14.07,26.32,11.8,19.75
63563,7.41,0,13.4,32.04,35.71,0,1.18,26.04,20.93,12.35,57.78
63565,14.22,0.27,24.69,23.79,6.92,0.13,2.38,7.01,42.28,5.51,14.56
63566,18.27,0,82.61,17.17,10.53,0,0,6.02,,0,3.85
63567,22.7,0,88,80.37,2.6,9.43,0,22.64,33.33,0,9.82
63601,21.07,0.14,31.95,27.76,10.93,3.32,1.95,9.32,43.71,7.71,8.32
63620,26.91,0,25.37,35.63,24.13,0.36,0.21,17.08,40.74,8.1,20.39
63621,22.83,0,26.27,16.81,13.65,0.82,2.72,12.24,54,8.81,7.68
63622,16.97,0,50,11.41,19.96,0,0,21.01,0,14.02,13.62
63623,22.31,0,0,28.22,22.5,0,5.65,31.11,40.91,6.01,9.26
63624,25.97,0,37.52,34.32,23.07,3.95,5.29,16.18,54.86,13.17,13.47
63625,24.34,0,100,12.32,24.09,0,0,5.86,,1.27,10.56
63626,27.15,0,29.69,26.77,23.88,0,0,22.85,100,14.68,1.89
63627,11.16,0,27.63,22.58,8.17,0.19,3.45,14.28,57.53,1.13,7.48
63628,25.01,0.08,15.4,23.35,17.57,1.26,1.58,18.53,40.26,5.93,9.45
63629,31.11,0,13.68,17.43,13.43,0,0,23,0,7.05,14.79
63630,19.24,0,38.81,40.26,19.47,0,5.49,48.32,77.41,8.71,10.31
63631,21.67,0,31.75,9.23,14.15,0,0,19.22,27.27,4,10.62
63633,23.93,0,32.4,25.61,26.75,0.49,5.67,25.74,10.96,5.67,11.9
63636,18.52,0,12.69,20.2,25.85,0,4.39,17.95,58.33,4.39,22.39
63637,20.16,0,36.54,23.08,9.3,1.92,0,19.79,46.43,0,0.6
63666,24.16,0,32.61,24.05,19.05,0.85,0.28,15.84,53.56,5.67,11.2
63638,24.16,0,32.61,24.05,19.05,0.85,0.28,15.84,53.56,5.67,11.2
63651,18.46,0.53,30.24,22.25,13.85,4.84,2.77,10.23,43.81,7.31,12.45
63640,18.46,0.53,30.24,22.25,13.85,4.84,2.77,10.23,43.81,7.31,12.45
63645,25.44,0.12,25.48,20.32,13.78,4.1,3.01,10.68,46.49,6.84,12.81
63648,13.54,0,62.94,45.12,16.96,0.34,3.39,23.13,50.56,7.16,17.58
63650,21.11,0,37.75,32.04,16.06,1.94,0.92,11.67,71.6,7.34,7.78
63653,21.88,0,21.35,35.8,24.25,0,7.11,5.76,51.85,5.49,18.68
63654,28.97,0,20.9,21.12,9.58,2.86,4.64,5.9,22.5,0.99,10.65
63655,21.46,0,13.02,33.95,15.94,0,1.48,17.93,29.7,2.47,20.07
63632,21.46,0,13.02,33.95,15.94,0,1.48,17.93,29.7,2.47,20.07
63656,23.78,0,0,11.54,16.88,0,2.8,22.94,0,9.35,9.44
63660,22.58,0,52.37,37.52,23.64,0,5.75,45.43,50.68,1.98,7.65
63662,19.13,0,0,29.47,9.74,1.75,8.98,14.02,21.95,4.31,5.4
63663,27,0,49.25,45.69,15.75,1.84,7.21,0.52,35.22,2.4,28.29
63664,29.38,0.06,26.62,23.8,19.95,0.27,1.19,20.62,35.53,5.01,13.87
63665,18.92,0,35,24.32,6.34,0,0,34.51,0,0,12.43
63670,16.38,0.26,27.4,13.68,7.74,2.49,1.07,8.74,20.12,3.25,5.28
63673,16.88,0,16.61,16.88,7.26,0,3.64,18.9,12,3.35,12.09
63674,,0,,,,0,,0,,,
63675,63.22,0,,25.29,35,0,0,4.04,,0,0
63752,12.45,0.75,29.16,24.69,7.26,8.1,0.92,2.95,47.26,4.76,8.1
63702,12.45,0.75,29.16,24.69,7.26,8.1,0.92,2.95,47.26,4.76,8.1
63701,12.45,0.75,29.16,24.69,7.26,8.1,0.92,2.95,47.26,4.76,8.1
63703,20.35,0.29,60.26,43.19,12.36,17.11,1.67,6.53,49.49,16.42,11.25
63730,16.72,0,13.58,23.5,18.23,0,0.46,15.56,38.32,7.55,13.28
63732,11.16,0,0.55,8.11,6.3,0,1.39,3.73,25,5.01,1.72
63735,18.05,0,30.6,39.01,24.49,0,0.89,24.35,53.45,10.71,15.37
63736,14.69,0,34.67,25.47,10.58,0,2.74,37.62,34.73,1.34,11.7
63738,,0,,,,,,,,,
63739,10.63,0,31.43,50.63,21.32,0,0,23.14,37.5,0,11.71
63744,17.26,0,17.37,15.98,13.9,3.25,6.2,13.02,41.1,6.3,6.11
63740,17.26,0,17.37,15.98,13.9,3.25,6.2,13.02,41.1,6.3,6.11
63742,18.99,0,42.86,48.1,19.57,0,0,55.26,,0,3.8
63743,18.64,0,0,0,0,0,0,10.26,,0,0
63745,0,0,,50,50,0,0,0,0,0,100
63746,28.95,0,,13.16,7.89,0,0,0,0,20,0
63747,19.74,0,0,1.3,6.91,0,0,19.32,0,4.64,1.86
63748,9.17,0,16.94,13.05,21.86,0,1.1,10.61,5.88,1.83,5.09
63737,9.17,0,16.94,13.05,21.86,0,1.1,10.61,5.88,1.83,5.09
63750,20,0,100,20,0,0,0,55.56,,0,20
63751,27.68,0.8,44.4,22.74,26.19,0,0.99,20.46,48.65,1.39,16.95
